date,property_type,asking_price,transaction_price,Rents - Industrial and commercial space ,Rents - Office space ,Rents - Rental housing units ,Rents - Retail space ,Acquisition of Swiss citizenship,Natural Change,Net migration,Switzerland - CHF - Call money rate (Tomorrow next) - 1 day,Origination - Relevant foreign currency positions,Origination - Securities portfolio,Origination - Money market transactions,Origination - Other,Origination - Monetary base,Utilisation - Banknotes in circulation,Utilisation - Sight deposit accounts of domestic banks,Utilisation - Monetary base,Seasonally adjusted - Monetary base,Level - Currency in circulation,Level - Deposits in transaction accounts,Level - Monetary aggregate M3,Banks in Switzerland - Total domestic and foreign - Total loans - Utilisation,Banks in Switzerland - Total domestic and foreign - Mortgage loans - Utilisation,"Value, in CHF millions - Gross domestic product",population,SFSO - Inflation according to the national consumer price index
2007-01-01,Privately owned apartments,130.15611776197932,129.14549633619524,108.29187173896004,107.14810291323266,123.73518946777058,106.8057709731714,43889.0,13405.0,75459.0,2.165,80326.91667,4466.5,21748.91667,62344.58333,44197.75,38943.16667,5254.58333,44197.75,44198.08333,35955.75,92163.91667,629196.41667,951046.25,645742.16667,589474.12521,7551117.0,0.73333
2007-01-01,Single-family houses,118.85988892271129,120.44622740048639,108.29187173896004,107.14810291323266,123.73518946777058,106.8057709731714,43889.0,13405.0,75459.0,2.165,80326.91667,4466.5,21748.91667,62344.58333,44197.75,38943.16667,5254.58333,44197.75,44198.08333,35955.75,92163.91667,629196.41667,951046.25,645742.16667,589474.12521,7551117.0,0.73333
2008-01-01,Apartment buildings,,92.60359753151687,108.73736900904598,107.98808396520909,128.93638687378723,107.41327066551113,44365.0,15458.0,98167.0,1.5775,82597.16667,3772.5,33197.41667,70005.16667,49561.91667,41306.16667,8255.75,49561.91667,49560.16667,37502.91667,91018.58333,645677.0,1007108.75,668074.25,614039.78268,7647675.0,2.43333
2008-01-01,Privately owned apartments,135.5107307006537,136.56189468256193,108.73736900904598,107.98808396520909,128.93638687378723,107.41327066551113,44365.0,15458.0,98167.0,1.5775,82597.16667,3772.5,33197.41667,70005.16667,49561.91667,41306.16667,8255.75,49561.91667,49560.16667,37502.91667,91018.58333,645677.0,1007108.75,668074.25,614039.78268,7647675.0,2.43333
2008-01-01,Single-family houses,122.05189619332815,127.3131196224142,108.73736900904598,107.98808396520909,128.93638687378723,107.41327066551113,44365.0,15458.0,98167.0,1.5775,82597.16667,3772.5,33197.41667,70005.16667,49561.91667,41306.16667,8255.75,49561.91667,49560.16667,37502.91667,91018.58333,645677.0,1007108.75,668074.25,614039.78268,7647675.0,2.43333
2009-01-01,Apartment buildings,,97.05133836586033,100.33725611009108,112.26528379452054,133.5103793890114,111.04809232080788,43440.0,15810.0,74587.0,0.04167,106655.5,5505.83333,40049.75,53124.0,99087.08333,45346.33333,53740.75,99087.08333,99090.16667,41702.66667,109914.25,683092.58333,984429.75,700892.0,602688.11551,7743831.0,-0.48333
2009-01-01,Privately owned apartments,144.2114783102576,140.57034502096158,100.33725611009108,112.26528379452054,133.5103793890114,111.04809232080788,43440.0,15810.0,74587.0,0.04167,106655.5,5505.83333,40049.75,53124.0,99087.08333,45346.33333,53740.75,99087.08333,99090.16667,41702.66667,109914.25,683092.58333,984429.75,700892.0,602688.11551,7743831.0,-0.48333
2009-01-01,Single-family houses,128.2039769040978,128.86389811463042,100.33725611009108,112.26528379452054,133.5103793890114,111.04809232080788,43440.0,15810.0,74587.0,0.04167,106655.5,5505.83333,40049.75,53124.0,99087.08333,45346.33333,53740.75,99087.08333,99090.16667,41702.66667,109914.25,683092.58333,984429.75,700892.0,602688.11551,7743831.0,-0.48333
2010-01-01,Apartment buildings,,100.0,104.13962616062742,112.42685333556366,135.83112487288872,113.71324864240258,39314.0,17737.0,64939.0,0.04917,232062.5,5017.5,5922.25,152794.66667,90207.58333,47069.83333,43137.75,90207.58333,90214.91667,43768.75,116366.25,730528.08333,1010847.5,735713.58333,624008.73541,7824909.0,0.68333
2010-01-01,Privately owned apartments,151.71707212522696,149.26255230042167,104.13962616062742,112.42685333556366,135.83112487288872,113.71324864240258,39314.0,17737.0,64939.0,0.04917,232062.5,5017.5,5922.25,152794.66667,90207.58333,47069.83333,43137.75,90207.58333,90214.91667,43768.75,116366.25,730528.08333,1010847.5,735713.58333,624008.73541,7824909.0,0.68333
